Building graph from scratch...
conv1_1 [ 3  3  3 64]
conv1_2 [ 3  3 64 64]
conv2_1 [  3   3  64 128]
conv2_2 [  3   3 128 128]
conv3_1 [  3   3 128 256]
conv3_2 [  3   3 256 256]
conv3_3 [  3   3 256 256]
conv4_1 [  3   3 256 512]
conv4_2 [  3   3 512 512]
conv4_3 [  3   3 512 512]
conv5_1 [  3   3 512 512]
conv5_2 [  3   3 512 512]
conv5_3 [  3   3 512 512]
train score:2.48767209053, test score:2.55106163025
train score:2.29252290726, test score:2.35457897186
train score:2.25697660446, test score:2.31013917923
train score:2.26668429375, test score:2.32361793518
train score:2.30557346344, test score:2.28029060364
train score:2.26354217529, test score:2.34328484535
train score:2.29634594917, test score:2.27281069756
train score:2.29650592804, test score:2.30601215363
train score:2.28853535652, test score:2.29382824898
train score:2.28047704697, test score:2.31237649918
train score:2.27334666252, test score:2.2865293026
train score:2.30119395256, test score:2.27274227142
train score:2.28395485878, test score:2.27341389656
train score:2.2829413414, test score:2.28440761566
train score:2.28902721405, test score:2.30030441284
train score:2.29049277306, test score:2.31835007668
train score:2.28148674965, test score:2.2795112133
train score:2.30182480812, test score:2.28297352791
train score:2.28809952736, test score:2.29426527023
train score:2.2809214592, test score:2.29676413536
train score:2.29388260841, test score:2.29600429535
train score:2.28681468964, test score:2.28565883636
train score:2.30119228363, test score:2.29198646545
train score:2.29028081894, test score:2.29188227654
train score:2.29246687889, test score:2.27598524094
train score:2.28052043915, test score:2.28927969933
train score:2.26954293251, test score:2.28029060364
train score:2.27900743484, test score:2.27731466293
train score:2.2938952446, test score:2.29646110535
train score:2.27540254593, test score:2.2872505188
train score:2.29289126396, test score:2.26987504959
train score:2.29063940048, test score:2.29455089569
train score:2.26312160492, test score:2.30306386948
train score:2.28602313995, test score:2.27782201767
train score:2.29168510437, test score:2.27795553207
train score:2.2769548893, test score:2.27704834938
train score:2.28058385849, test score:2.27582526207
train score:2.27369451523, test score:2.27061581612
train score:2.26921057701, test score:2.30549550056
train score:2.27955031395, test score:2.26461982727
train score:2.25171327591, test score:2.26050686836
train score:2.28573989868, test score:2.28611016273
train score:2.24786090851, test score:2.26391363144
train score:2.25074410439, test score:2.24116301537
train score:2.25985074043, test score:2.27489566803
train score:2.3009595871, test score:2.2740585804
train score:2.2559261322, test score:2.22964692116
train score:2.22301363945, test score:2.24270248413
train score:2.23912167549, test score:2.24526309967
train score:2.25710105896, test score:2.25804901123
train score:2.26587605476, test score:2.23639416695
train score:2.26734519005, test score:2.21732711792
train score:2.23025608063, test score:2.22832632065
train score:2.22123789787, test score:2.24765253067
train score:2.21553683281, test score:2.25636005402
train score:2.20558977127, test score:2.26374578476
train score:2.22463655472, test score:2.22437047958
train score:2.22160100937, test score:2.22612786293
train score:2.2191362381, test score:2.21231269836
train score:2.22372484207, test score:2.1950314045
train score:2.21168494225, test score:2.2127187252
train score:2.18156051636, test score:2.25776910782
train score:2.2331867218, test score:2.24079346657
train score:2.19345331192, test score:2.19449067116
train score:2.20227527618, test score:2.17759299278
train score:2.17863368988, test score:2.20471429825
train score:2.25187706947, test score:2.19805192947
train score:2.17993378639, test score:2.2019534111
train score:2.22286605835, test score:2.10932850838
train score:2.13397407532, test score:2.22632312775
train score:2.21640634537, test score:2.22193312645
train score:2.17014455795, test score:2.1121878624
train score:2.13086700439, test score:2.17846417427
train score:2.1389234066, test score:2.16927647591
train score:2.12026023865, test score:2.12083745003
train score:2.17231678963, test score:2.16514730453
train score:2.14945530891, test score:2.11217975616
train score:2.17433643341, test score:2.11847734451
train score:2.11076688766, test score:2.16956996918
train score:2.14673304558, test score:2.19668912888
train score:2.08368396759, test score:2.06662774086
train score:2.10458230972, test score:2.06981372833
train score:2.16788554192, test score:2.18317580223
train score:2.18343544006, test score:2.13515710831
train score:2.16245508194, test score:2.13412570953
train score:2.08297872543, test score:2.11500787735
train score:2.15620183945, test score:2.15864157677
train score:2.1244995594, test score:2.08314657211
train score:2.12383365631, test score:2.16368865967
train score:2.16396951675, test score:2.06904935837
train score:2.18504905701, test score:2.06613302231
train score:2.0503411293, test score:2.09472846985
train score:2.01993751526, test score:2.05509543419
train score:2.06919550896, test score:2.13638758659
train score:2.12069487572, test score:2.08351778984
train score:2.11447262764, test score:2.04218053818
train score:2.07912898064, test score:2.01371717453
train score:2.10114884377, test score:2.07743358612
train score:2.00699186325, test score:2.03518033028
train score:2.04604744911, test score:2.0806479454
train score:2.01894569397, test score:2.05280208588
train score:2.1003985405, test score:2.06636428833
train score:2.10239291191, test score:2.02788329124
train score:2.09448766708, test score:2.08712124825
train score:2.1097612381, test score:2.09069514275
train score:2.11882734299, test score:2.03967475891
train score:2.05607819557, test score:2.10768127441
train score:2.02672815323, test score:2.1267490387
train score:2.08348178864, test score:2.07193112373
train score:1.96844160557, test score:2.03300523758
train score:2.05229187012, test score:2.05985665321
train score:2.07582640648, test score:2.12261414528
train score:2.02578258514, test score:2.06474781036
train score:2.07909560204, test score:2.08517241478
train score:2.1760187149, test score:2.06822681427
train score:2.01144838333, test score:2.11353468895
train score:2.05002117157, test score:1.98475790024
train score:2.05946397781, test score:2.06127882004
train score:2.06129479408, test score:2.08519077301
train score:2.10102462769, test score:2.04700517654
train score:2.05784916878, test score:2.12392091751
train score:1.98543787003, test score:2.07256650925
train score:2.03455495834, test score:2.04733133316
train score:2.08591914177, test score:2.05955052376
